Wavelength,a*chl,a*mss,a*cdom,b*chl,b*mss
668,0.037800499,0.006003931,0.06698193,0.12,0.4
670,0.041623402,0.005891882,0.065451033,0.12,0.4
672,0.042286976,0.005777737,0.063898278,0.12,0.4
674,0.044411496,0.005665804,0.06238236,0.12,0.4
676,0.043873409,0.005560066,0.060956588,0.12,0.4
678,0.04326516,0.005452349,0.059510459,0.12,0.4
680,0.041253441,0.00534672,0.058098638,0.12,0.4
682,0.038524476,0.005246937,0.056770772,0.12,0.4
684,0.034176309,0.005145286,0.055423947,0.12,0.4
686,0.029171814,0.005045605,0.054109074,0.12,0.4
688,0.024152788,0.004951442,0.052872391,0.12,0.4
690,0.019205954,0.004855516,0.051618051,0.12,0.4
692,0.014885457,0.004761449,0.050393468,0.12,0.4
694,0.011724571,0.004672589,0.049241707,0.12,0.4
696,0.009056333,0.004582065,0.048073501,0.12,0.4
698,0.006993899,0.004493296,0.046933009,0.12,0.4
700,0.005684068,0.00440944,0.045860338,0.12,0.4
702,0.00441886,0.004324015,0.044772351,0.12,0.4
704,0.003502405,0.004240244,0.043710175,0.12,0.4
706,0.002812853,0.004161111,0.042711163,0.12,0.4
708,0.002530677,0.004080497,0.041697887,0.12,0.4
710,0.001915572,0.004001444,0.04070865,0.12,0.4
712,0.001565771,0.003926767,0.039778238,0.12,0.4
714,0.00125435,0.003850693,0.038834543,0.12,0.4
716,0.001181471,0.003776092,0.037913235,0.12,0.4
718,0.001096448,0.003705621,0.037046714,0.12,0.4
720,0.000930925,0.003633831,0.036167821,0.12,0.4
722,0.000662176,0.003563432,0.035309779,0.12,0.4
724,0.00045101,0.00349693,0.03450276,0.12,0.4
726,0.000273941,0.003429183,0.03368422,0.12,0.4
728,0.000147602,0.003362748,0.032885098,0.12,0.4
730,-2.22789E-06,0.003299991,0.032133497,0.12,0.4
732,9.59656E-05,0.003236059,0.031371165,0.12,0.4
734,-8.11515E-05,0.003173366,0.030626918,0.12,0.4
736,-1.98232E-05,0.003114144,0.029926928,0.12,0.4
738,1.62999E-05,0.003053812,0.029216944,0.12,0.4
740,-0.000360505,0.00299465,0.028523804,0.12,0.4
742,-0.000148209,0.002938763,0.027871882,0.12,0.4
744,-3.20681E-05,0.002881829,0.027210651,0.12,0.4
746,-0.000182959,0.002825999,0.026565108,0.12,0.4
748,2.75738E-05,0.002773259,0.025957953,0.12,0.4
750,0,0.002719532,0.025342128,0.12,0.4
